Measures,Section,Mean,STD,Min,Median,Max,Range
Volume,1,45802.882,8637.054,29122.997,45649.499,53190.747,62364.996
Volume,2,8934.01,1560.514,5530.0,8711.499,9640.75,14368.0
Volume,3,9509.049,1538.601,6383.0,9508.0,10171.499,15212.0
Volume,4,9712.921,1625.088,6389.0,9660.999,10456.75,15005.0
Volume,5,8112.872,1386.032,5672.0,7847.0,8875.75,12162.0
Volume,6,6869.167,1259.072,4992.0,6557.0,7546.0,10407.0
Volume,7,4841.451,683.24,3638.0,4759.0,5117.0,7171.0
Volume,8,3573.059,516.82,2263.0,3593.5,3879.5,5183.0
Volume,9,3065.794,457.445,2134.0,3026.5,3323.0,4347.0
Volume,10,2998.892,425.564,2090.0,2996.5,3195.25,4324.0
Volume,11,2969.471,491.295,2162.0,2876.0,3195.25,4178.0
Volume,12,4246.794,880.962,2395.0,4290.5,4699.5,6789.0
Volume,13,5473.451,1243.88,3439.0,5210.5,6368.75,8133.0
Volume,14,7049.127,1543.014,3379.0,7055.0,8251.0,9824.0
Volume,15,7966.333,1580.869,3550.0,8037.5,8813.0,11249.0
Volume,16,7877.019,1321.465,4833.0,7862.0,8763.5,10721.999
Volume,17,8179.039,1411.663,4885.0,8216.0,9000.5,11571.0
Volume,18,8508.01,1171.365,6041.0,8510.5,8954.5,11887.999
Volume,19,12572.372,1702.864,9808.0,12255.5,13689.749,17032.0
Volume,20,37373.186,5674.678,27571.998,36605.499,39249.25,51145.997
